web-scraper-order,web-scraper-start-url,Hospital,Hospital-href,Address,Timing,Phone no,Website,pages,pages-href
1626872594-70,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada,Women?s College Hospital,https://www.yelp.com/biz/womens-college-hospital-toronto?osq=Hospitals,"76 Grenville Street Toronto, ON M5S 1B2 Canada",Open6:00 AM - 7:00 PM,(416) 323-6400,womenscollegehospital.ca,,
1626872531-66,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada,Parliament Physio Clinic,https://www.yelp.com/adredir?ad_business_id=ie9RcYx7CSuHz3DGV530Ug&campaign_id=eb2UAgv21b4mgSqfYKbqZA&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fparliament-physio-clinic-toronto&request_id=2a83d1af433cbf52&signature=883b43e9371a16108afc26277fad07ed351c92cbc62d054e89b22948f8573dba&slot=0,Verified by Business,Open9:00 AM - 7:00 PM,(416) 274-7979,parliamentphysio.ca,,
1626872649-75,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada,St Michael?s Hospital,https://www.yelp.com/biz/st-michaels-hospital-toronto?osq=Hospitals,"30 Bond Street Toronto, ON M5B 1W8 Canada",Closed12:00 PM - 12:00 AM (Next day),(416) 360-4000,stmichaelshospital.com,,
1626872673-78,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada,Massaje Wellness Clinic,https://www.yelp.com/adredir?ad_business_id=PH3BGRNqiA7fK3vY9hjnzg&campaign_id=NtQYFVfyObfFLHrbi95ewg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmassaje-wellness-clinic-toronto-2&request_id=2a83d1af433cbf52&signature=bed886d53e647b32640dec63c00368436577a0a7cefc3bcae06cbd7793dd93d3&slot=0,Verified by Business,Closed10:00 AM - 8:00 PM,(647) 558-3137,massajewellness.com,,
1626872409-54,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada,Women?s College Hospital,https://www.yelp.com/biz/womens-college-hospital-toronto-4?osq=Hospitals,"77 Grenville Street 3rd & 4th Floor Toronto, ON M5S 1B3 Canada",Closed9:00 AM - 8:00 PM,(416) 323-6060,womenscollegehospital.ca,2,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada&start=10
1626872562-68,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada,Bridgepoint Health,https://www.yelp.com/biz/bridgepoint-health-toronto?osq=Hospitals,"1 Bridgepoint Drive Toronto, ON M4M 2B5 Canada",null,(416) 461-8252,bridgepointhealth.ca,,
1626872492-63,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada,Princess Margaret Cancer Centre,https://www.yelp.com/biz/princess-margaret-cancer-centre-toronto?osq=Hospitals,"610 University Avenue Toronto, ON M5G 2M9 Canada",null,(416) 946-2000,theprincessmargaret.ca/en/page?,2,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada&start=10
1626872478-61,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada,Michael Garron Hospital,https://www.yelp.com/biz/michael-garron-hospital-east-york?osq=Hospitals,"825 Coxwell Ave East York, ON M4C 3E7 Canada",null,(416) 461-8272,tegh.on.ca,2,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada&start=10
1626872431-57,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada,Ontario MRI Centre - Mount Sinai Hospital,https://www.yelp.com/biz/ontario-mri-centre-mount-sinai-hospital-toronto?osq=Hospitals,"600 University Avenue Suite 521 Toronto, ON M5G 1X5 Canada",null,Get Directions,(416) 596-4200,2,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada&start=10
1626872625-72,https://www.yelp.com/search?find_desc=Hospitals&find_loc=canada,Toronto General Hospital,https://www.yelp.com/biz/toronto-general-hospital-toronto?osq=Hospitals,"200 Elizabeth St Toronto, ON M5G 2C4 Canada",null,Get Directions,(416) 340-4800,,
